trial,stack,class,duration,H_amp,V_amp,H_vel,V_vel,EyeRT,ArmRT,arm_duration,ArmRT2,button1,button2,delay,sac ang,targR,targL
60748,66,4,66,-19.73,-13.8,-515.91,-349.36,225,287,151,323,4,1,0,-145.029424290901,-135,45
15,66,5,64,9.11,-5.42,222.81,-148.51,249,300,125,311,4,1,100,-30.7505552949667,-180,0
72,66,5,66,16.17,-1.88,413.24,-52.13,217,289,166,329,4,1,300,-6.63170157460393,-180,0
103,66,5,62,13.38,-7.01,345.92,-185.47,249,323,170,353,4,1,300,-27.6507754793,-180,0
10132,66,5,62,15.51,-2.12,407.97,-62.22,221,267,177,309,4,1,100,-7.783298636919,-180,0
10173,66,5,64,13.7,1.7,356.78,44.83,219,307,165,344,4,1,0,7.07353767496137,-180,0
10240,66,5,62,12.31,-5.1,319.21,-133.33,255,314,142,348,4,1,400,-22.5040960094694,-180,0
20250,66,5,64,15.24,-2.08,392.39,-66.51,229,288,162,341,4,1,300,-7.77187669765362,-180,0
20318,66,5,64,11.43,1.22,297.95,19.67,247,297,134,330,4,1,500,6.0924932143044,-180,0
20357,66,5,62,11.51,-0.66,295.58,-35.18,255,317,119,338,4,1,0,-3.28182884977679,-180,0
30366,66,5,66,12.61,-4.76,330.03,-121.03,237,293,149,343,4,1,100,-20.6804280120157,-180,0
30434,66,5,66,13.84,-4,350.08,-119.19,213,272,119,293,4,1,500,-16.1202108565919,-180,0
30468,66,5,68,14.55,-3.3,358.81,-98.38,211,278,131,302,4,1,200,-12.778733188406,-180,0
40495,66,5,62,12.81,-0.46,332.61,-24.23,225,250,137,295,4,1,400,-2.05657601273622,-180,0
40560,66,5,62,13.26,-3.88,346.56,-113.09,271,305,130,331,4,1,200,-16.3099694145412,-180,0
40563,66,5,64,12.69,-3.43,329.64,-102.37,275,326,133,353,4,1,200,-15.1251445129134,-180,0
50633,66,5,62,10.56,-2.96,270.2,-87.38,229,279,135,317,4,1,200,-15.6583452990197,-180,0
50676,66,5,64,14.32,-1.55,368.81,-58.13,183,233,131,266,4,1,300,-6.17765719439368,-180,0
50709,66,5,66,13.96,-5.24,353.94,-145.26,251,305,122,333,4,1,0,-20.5740344747264,-180,0
60729,66,5,66,12.15,-4.6,302.63,-126.37,255,289,123,305,4,1,300,-20.7367069886834,-180,0
60762,66,5,64,12.44,1.01,318.56,16.83,243,313,142,348,4,1,0,4.64164673605749,-180,0
20,66,6,68,14.89,-15.56,373.26,-408.29,243,314,157,332,4,1,0,-46.2604919189425,135,-45
44,66,6,64,10.86,-11.43,276.28,-293.18,215,316,169,349,4,1,500,-46.4648487362218,135,-45
86,66,6,66,14.41,-13.77,365.16,-363.28,235,327,136,334,4,1,100,-43.6989710357385,135,-45
10136,66,6,66,12.28,-17.32,312.15,-441.48,255,329,149,344,4,1,200,-54.663095033257,135,-45
10196,66,6,66,14.14,-18.17,364.54,-476.94,249,308,149,316,1,4,200,-52.1097380567573,135,-45
10236,66,6,68,12.27,-15.08,298.39,-392.66,277,377,141,379,4,1,200,-50.8661131299045,135,-45
20254,66,6,66,13.11,-16.6,322.22,-423.4,263,345,167,357,4,1,0,-51.6997662675693,135,-45
20317,66,6,66,12.04,-15.56,314.69,-416.94,211,303,139,326,4,1,200,-52.2680511646698,135,-45
20350,66,6,66,11.89,-15.86,299.26,-404.99,251,347,159,361,4,1,500,-53.1416644122198,135,-45
30387,66,6,62,11.63,-13.93,299.26,-364.41,173,303,134,311,4,1,500,-50.1418751135638,135,-45
30425,66,6,68,14.74,-16.23,360.71,-420.94,221,310,148,328,4,1,300,-47.7544376590972,135,-45
30464,66,6,64,12.25,-12.27,323.74,-322.47,291,333,180,368,4,1,500,-45.0467339044101,135,-45
40485,66,6,78,-19.69,11.18,-519.06,247.67,361,300,147,327,4,1,400,150.41205005402,135,-45
40543,66,6,64,11.27,-14.09,291.86,-359.83,319,379,134,392,4,1,200,-51.3451511312964,135,-45
40588,66,6,66,12.59,-13.14,304.85,-323.31,53,275,120,279,1,4,400,-46.2245581187038,135,-45
50625,66,6,68,-16.3,11.14,-414.12,273.94,367,336,127,336,1,4,0,145.649909139143,135,-45
50660,66,6,70,9.8,-15.32,239.42,-364.38,203,257,134,261,4,1,400,-57.3934940414939,135,-45
50707,66,6,68,12.02,-15.43,295.41,-386.51,225,317,120,327,4,1,300,-52.0813399190083,135,-45
